ID,Example_IDs,Number,Context
1-2-3-1-22-1,1-2-3-1-22-1-1 1-2-3-1-22-1-2,1,
1-2-3-1-22-2,1-2-3-1-22-2-1 1-2-3-1-22-2-2,2,
1-2-3-1-22-3,1-2-3-1-22-3-1,3,
1-2-3-1-22-4,1-2-3-1-22-4-1,4,
1-2-3-3-35-5,1-2-3-3-35-5-1 1-2-3-3-35-5-2,25,
2-7-2-None-202-1,2-7-2-None-202-1-1,,
2-7-2-None-202-2,2-7-2-None-202-2-1 2-7-2-None-202-2-2,,
2-8-1-None-231-3,2-8-1-None-231-3-1,,
2-8-2-None-232-4,2-8-2-None-232-4-1,,
2-8-2-None-232-5,2-8-2-None-232-5-1 2-8-2-None-232-5-2,,
2-8-2-3-244-6,2-8-2-3-244-6-1 2-8-2-3-244-6-2,,
2-8-2-3-245-7,2-8-2-3-245-7-1 2-8-2-3-245-7-2,,
2-8-2-3-245-8,2-8-2-3-245-8-1 2-8-2-3-245-8-2 2-8-2-3-245-8-3,,
2-8-3-1-267-9,2-8-3-1-267-9-1,,
2-8-3-1-267-10,2-8-3-1-267-10-1,,
2-8-3-1-267-11,2-8-3-1-267-11-1,,
2-8-3-1-267-12,2-8-3-1-267-12-1,,
2-8-3-1-267-13,2-8-3-1-267-13-1,,
2-8-3-2-267-14,2-8-3-2-267-14-1 2-8-3-2-267-14-2,,
2-8-3-2-268-15,2-8-3-2-268-15-1,,
2-8-3-2-268-16,2-8-3-2-268-16-1,,
2-8-3-2-268-17,2-8-3-2-268-17-1 2-8-3-2-268-17-2,,
2-8-3-2-268-18,2-8-3-2-268-18-1,,
2-8-3-4-289-19,2-8-3-4-289-19-1,,
2-8-3-4-292-20,2-8-3-4-292-20-1,,
3-2-7-1-48-1,3-2-7-1-48-1-1,1,
3-2-7-1-48-2,3-2-7-1-48-2-1,2,
3-2-7-1-49-3,3-2-7-1-49-3-1 3-2-7-1-49-3-2,2,
5-1-3-5-22-1,5-1-3-5-22-1-1,,
5-1-3-5-22-2,5-1-3-5-22-2-1,,
5-1-3-5-22-3,5-1-3-5-22-3-1,,
5-1-3-5-23-4,5-1-3-5-23-4-1 5-1-3-5-23-4-2,,
5-1-3-5-25-5,5-1-3-5-25-5-1 5-1-3-5-25-5-2 5-1-3-5-25-5-3 5-1-3-5-25-5-4 5-1-3-5-25-5-5 5-1-3-5-25-5-6,,
5-6-2-None-368-6,5-6-2-None-368-6-1,,
5-6-2-None-368-7,5-6-2-None-368-7-1,,
5-6-2-None-368-8,5-6-2-None-368-8-1,,
5-6-2-None-368-9,5-6-2-None-368-9-1,,
5-6-2-None-368-10,5-6-2-None-368-10-1,,
5-6-3-None-385-11,5-6-3-None-385-11-1,,
5-6-3-None-385-12,5-6-3-None-385-12-1,,
5-6-3-None-385-13,5-6-3-None-385-13-1,,
5-6-4-1-409-14,5-6-4-1-409-14-1,,
5-6-4-4-417-15,5-6-4-4-417-15-1,,
5-6-6-1-425-16,5-6-6-1-425-16-1,,
5-6-6-1-425-17,5-6-6-1-425-17-1,,
5-6-6-1-425-18,5-6-6-1-425-18-1,,
5-6-6-3-448-19,5-6-6-3-448-19-1,,
5-6-6-3-448-20,5-6-6-3-448-20-1,,
5-6-6-3-449-21,5-6-6-3-449-21-1,,
5-10-3-None-543-22,5-10-3-None-543-22-1,,
5-10-8-None-560-23,5-10-8-None-560-23-1,,
5-10-8-None-560-24,5-10-8-None-560-24-1 5-10-8-None-560-24-2,,
5-10-8-None-560-25,5-10-8-None-560-25-1,,
5-11-5-None-595-26,5-11-5-None-595-26-1,,
5-11-5-None-595-27,5-11-5-None-595-27-1,,
5-11-5-None-595-28,5-11-5-None-595-28-1,,
5-11-5-None-595-29,5-11-5-None-595-29-1,,
5-11-5-None-595-30,5-11-5-None-595-30-1,,
6-2-4-1-118-1,6-2-4-1-118-1-1 6-2-4-1-118-1-2,,
6-12-1-2-372-2,6-12-1-2-372-2-1,2,report
6-12-1-2-372-3,6-12-1-2-372-3-1,3,question: polar
6-12-1-2-372-4,6-12-1-2-372-4-1,4,question: _wh-_
6-12-1-2-372-5,6-12-1-2-372-5-1,5,influence
6-12-1-2-372-6,6-12-1-2-372-6-1,6,commitment
6-12-1-2-373-7,6-12-1-2-373-7-1,7,
6-12-1-2-373-8,6-12-1-2-373-8-1,8,
6-12-1-2-373-9,6-12-1-2-373-9-1,9,
6-12-1-2-374-10,6-12-1-2-374-10-1,10,
6-12-1-3-376-11,6-12-1-3-376-11-1,15,
6-12-1-3-376-12,6-12-1-3-376-12-1,17,
6-12-2-None-378-13,6-12-2-None-378-13-1,20,
6-12-2-None-378-14,6-12-2-None-378-14-1,21,
6-12-2-None-378-15,6-12-2-None-378-15-1,22,
6-12-2-None-378-16,6-12-2-None-378-16-1,23,
6-12-2-None-379-17,6-12-2-None-379-17-1,24,
6-12-6-None-399-18,6-12-6-None-399-18-1,26,
6-12-6-None-399-19,6-12-6-None-399-19-1,27,
6-12-6-None-399-20,6-12-6-None-399-20-1,28,
6-12-6-None-399-21,6-12-6-None-399-21-1,29,
6-12-6-None-400-22,6-12-6-None-400-22-1,30,
6-12-6-None-400-23,6-12-6-None-400-23-1,31,
6-12-6-None-400-24,6-12-6-None-400-24-1,32,
6-12-6-None-401-25,6-12-6-None-401-25-1,33,"(Ross, field notes)"
6-12-6-None-401-26,6-12-6-None-401-26-1,34,
6-13-6-None-421-27,6-13-6-None-421-27-1,,
6-13-6-None-421-28,6-13-6-None-421-28-1,,
6-14-1-1-428-29,6-14-1-1-428-29-1 6-14-1-1-428-29-2 6-14-1-1-428-29-3,1,
6-14-1-1-429-30,6-14-1-1-429-30-1 6-14-1-1-429-30-2,2,
6-14-1-1-429-31,6-14-1-1-429-31-1,3,
6-14-1-1-429-32,6-14-1-1-429-32-1 6-14-1-1-429-32-2,4,
6-14-1-1-429-33,6-14-1-1-429-33-1,5,
6-14-1-1-429-34,6-14-1-1-429-34-1,6,
6-14-1-1-430-35,6-14-1-1-430-35-1,7,
6-14-1-1-430-36,6-14-1-1-430-36-1,8,
6-14-1-1-430-37,6-14-1-1-430-37-1,9,
6-14-1-2-431-38,6-14-1-2-431-38-1,10,
6-14-1-2-437-39,6-14-1-2-437-39-1,11,
6-14-4-None-446-40,6-14-4-None-446-40-1 6-14-4-None-446-40-2 6-14-4-None-446-40-3,12,
6-14-4-None-447-41,6-14-4-None-447-41-1,14,
6-14-5-1-477-42,6-14-5-1-477-42-1,18,
6-14-5-1-477-43,6-14-5-1-477-43-1 6-14-5-1-477-43-2 6-14-5-1-477-43-3 6-14-5-1-477-43-4,19,
6-14-6-3-492-44,6-14-6-3-492-44-1 6-14-6-3-492-44-2 6-14-6-3-492-44-3,20,
6-14-6-3-493-45,6-14-6-3-493-45-1,21,
6-14-6-3-493-46,6-14-6-3-493-46-1,22,
6-14-6-9-507-47,6-14-6-9-507-47-1 6-14-6-9-507-47-2 6-14-6-9-507-47-3,29,
6-15-4-4-524-48,6-15-4-4-524-48-1 6-15-4-4-524-48-2 6-15-4-4-524-48-3,2,
6-16-2-None-551-49,6-16-2-None-551-49-1,2,
6-16-2-None-551-50,6-16-2-None-551-50-1,3,
6-16-2-None-551-51,6-16-2-None-551-51-1,4,
6-16-4-None-553-52,6-16-4-None-553-52-1 6-16-4-None-553-52-2,7,
