ID,Name,Group,Classification,Alternative_Names,Note,Glottocode,Latitude,Longitude,Source,Icon,Map
northambrym,North Ambrym,NCV,OC,"Ambrym, N; N Ambrym",,nort2839,-16.17,168.14,LaneandLane1956;Scheffler1970;Loffler1960;Franjieh2012;Guiart1951;Deacon1927,ce31a1c,B.10
orkon,Orkon,NCV,OC,Fanbak,dialect of West Ambrym,orko1234,-16.17,168.20,,ce31a1c,B.10
paamese,Paamese,NCV,OC,Paama,,paam1238,-16.47548,168.23693,Crowley1982;Crowley1992,ce31a1c,B.10
paamesesouth,Paamese (South),NCV,OC,S Paamese,,sout2858,-16.47548,168.23693,,ce31a1c,B.10
paamesenorth,Paamese (North),NCV,OC,N Paamese,,nort2838,-16.48,168.24,,ce31a1c,B.10
seambrym,Southeast Ambrym,NCV,OC,SE Ambrym; SEAmbrym; S E Ambrym; S.E. Ambrym,,sout2859,-16.2975,168.21099999999998,Parker1970;Labrecque2009,ce31a1c,B.10
ambrym,Ambrym,NCV,OC,,,ambr1240,-16.2334,168.12233333333333,,ce31a1c,B.10
wambrym,West Ambrym,NCV,OC,W Ambrym,,port1293,-16.26,167.93,,ce31a1c,B.10
baki,Baki,NCV,OC,Paki; Burumba,,baki1244,-16.71,168.16,,c00fffb,B.10
bieria,Bieria,NCV,OC,Bonkovia-yevali,,bier1246,-16.79,168.23,,c00fffb,B.10
bierebo,Bierebo,NCV,OC,Bieri; Vovo; Wowo,,bier1244,-16.67,168.15,,c00fffb,B.10
lamen,Lamen,NCV,OC,Lamenu; Varmali,,lame1260,-16.61,168.17,,c00fffb,B.10
lelepa,Lelepa,NCV,OC,Havannah Harbour,dialect of Nakanamanga,lele1267,-17.60,168.20,Lacrampe2014;Guiart1964,c00fffb,B.10
lewo,Lewo,NCV,OC,Varsu,,lewo1242,-16.7612,168.334,Early1994a,c00fffb,B.10
nakanamanga,Nakanamanga,NCV,OC,NEfate; North Efate; N Efate,,nort2836,-17.58,168.38,,c00fffb,B.10
namakir,Namakir,NCV,OC,Makura; Namakura; Namakira,= Namakura,nama1268,-16.8979,168.569,Sperlich2019;Sperlich1991,c00fffb,B.10
nguna,Nguna,NCV,OC,,dialect of Nakanamanga,ngun1274,-17.5774,168.375,Schutz1969;Guiart1964;Facey1989,c00fffb,B.10
sesake,Sesake,NCV,OC,,Dialect of Nakanamanga,sesa1243,-17.04,168.38,,c00fffb,B.10
southefate,South Efate,NCV,OC,S. Efate; S Efate; Nafsan; Erakor,,sout2856,-17.70,168.38,Thieberger2006b;Thieberger2011;Thieberger2006a,c00fffb,B.10
efate,Efate,NCV,OC,,,efat1236,-17.65555,168.37575,,c00fffb,B.10
sye,Sye,SV,OC,Eromango; Sie,"= Sie, Eromango",siee1239,-18.8181,169.166,Lynch2001b;Humphreys1926;Crowley2000;Crowley1998,c19d300,B.11
ura,Ura,SV,OC,,,urav1235,-18.6747,169.084,Crowley1999;Lynch1983c,c19d300,B.11
utaha,Utaha,SV,OC,Ifo,,ifoo1237,-18.72,169.01,Lynch1983d,c19d300,B.11
kwamera,Kwamera,SV,OC,Nafe; Nife,,kwam1252,-19.5954,169.442,Lindstrom1981;LindstromandLynch1994;Lindstrom1986,c1100ff,B.11
lenakel,Lenakel,SV,OC,Netvaar,,lena1238,-19.4763,169.261,Lynch1977,c1100ff,B.11
ntanna,North Tanna,SV,OC,N Tanna; N. Tanna,,nort2847,-19.3733,169.303,,c1100ff,B.11
swtanna,Southwest Tanna,SV,OC,SW Tanna; SWTanna; S W Tanna; S.W. Tanna; Nawal,,sout2869,-19.57953,169.35603000000003,Lynch1982,c1100ff,B.11
whitesands,Whitesands,SV,OC,White sands; Narak,,whit1269,-19.50,169.38,Humphreys1926;CassonandGregory1976,c1100ff,B.11
anejom,Anejom̃,SV,OC,Anejom; Aneityum; Aneityom,= Aneityum,anei1239,-20.19,169.82,LynchandTepahae2001;Lynch2005;Lynch2000b,ce31a1c,B.11
dehu,Dehu,NCal,OC,Drehu,,dehu1237,-20.8892,167.22899999999998,OzanneRivierre2000;Tryon1967,c0e7400,B.12
iaai,Iaai,NCal,OC,,,iaai1238,-20.63,166.59,OzanneRivierre1984;OzanneRivierre2000;Ray1917,ced62ff,B.12
nengone,Nengone,NCal,OC,,,neng1238,-21.5305,167.964,Ray1917;TryonandDubois1969,cd37c7c,B.12
belep,Belep,NCal,OC,,,nyal1254,-19.72,163.66,McCracken2012,ce31a1c,B.12
caaac,Caaàc,NCal,OC,Caaac; Caac,,caac1237,-20.41,164.58,Cauchard2014,ce31a1c,B.12
fwai,Fwâi,NCal,OC,Fwai,,fwai1237,-20.69,164.90,OzanneRivierre2000;HaudricourtandOzanneRivierre1982,ce31a1c,B.12
jawe,Jawe,NCal,OC,,,jawe1237,-20.66,164.68,HaudricourtandOzanneRivierre1982,ce31a1c,B.12
pije,Pije,NCal,OC,,,pije1237,-20.7824,164.942,HaudricourtandOzanneRivierre1982,ce31a1c,B.12
pwapwa,Pwapwâ,NCal,OC,Pwapwa,,pwap1237,-20.81,164.56,,ce31a1c,B.12
nemi,Nemi,NCal,OC,,,nemi1240,-20.6791,164.797,OzanneRivierre2000;HaudricourtandOzanneRivierre1982,ce31a1c,B.12
nelemwa,Nêlêmwa,NCal,OC,Nelemwa; Nêlêmwâ,,nene1250,-20.24,164.03,Bril2014;Bril2000;OzanneRivierre2000,ce31a1c,B.12
nixumwak,Nixumwak,NCal,OC,Koumak; Koumac; Kumak,,nucl1483,-20.40,164.19,,ce31a1c,B.12
nyelayu,Nyelâyu,NCal,OC,Nyelayu,,bala1316,-20.25,164.20,OzanneRivierre1998,ce31a1c,B.12
pwaamei,Pwaamei,NCal,OC,,,pwaa1237,-20.84,164.77,,ce31a1c,B.12
yuanga,Yuanga,NCal,OC,,,yuag1237,-20.57,164.51,,ce31a1c,B.12
vohkone,Voh-Koné,NCal,OC,Voh-Kone,,vohk1234,-20.7991,164.77058,,ce31a1c,B.12
bwatoo,Bwatoo,NCal,OC,,,bwat1240,-21.16,164.82,,ce31a1c,B.12
wahmwaang,Wahmwaang,NCal,OC,,,waam1236,-20.50,164.41,,ce31a1c,B.12
cemuhi,Cèmuhî,NCal,OC,Cemuhi,,cemu1238,-20.85,165.13,BensaandRivierre1982;Rivierre1994,c00fffb,B.12
paici,Paicî,NCal,OC,Paici,,paic1239,-21.10,165.15,Leblic2005;Rivierre1983,c00fffb,B.12
ajie,Ajië,NCal,OC,Ajie,,ajie1238,-21.30,165.47,delaFontinelle1971;Leenhardt1935;Leenhardt1930,c8a33fd,B.12
oroe,Ôrôe,NCal,OC,,,orow1242,-21.46,165.47,,c8a33fd,B.12
tiri,Tîrî,NCal,OC,Tinrin; Grand Couli,,tiri1261,-21.72,165.81,,c19d300,B.12
xaracuu,Xârâcùù,NCal,OC,Xaracuu; Canala,,xara1244,-21.7034,165.996,MoyseFaurieetal1986;OzanneRivierre2000;MoyseFaurie1995,c19d300,B.12
xaragure,Xârâgurè,NCal,OC,,,xara1243,-21.82,166.38,,c19d300,B.12
drubea,Drubea,NCal,OC,Païta,,dumb1241,-22.09,166.53,OzanneRivierre2000;PaitaandShintani1983,cffff00,B.12
kwenyii,Kwênyii,NCal,OC,,,kwen1247,-22.55,167.44,OzanneRivierre2000,cffff00,B.12
nauruan,Nauruan,Mic,OC,,,naur1243,-0.53,166.92,Wedgwood1936;Kayser1993,c6100fd,B.13
kosraean,Kosraean,Mic,OC,Kusaeian,= Kusaeian,kosr1238,5.31,162.98000000000002,Lee1975;HarrisonandJackson1984;Lee1976,c00fffb,B.13
kiribati,Kiribati,Mic,OC,Gilbertese; Kiribatese; Kiribati (Butaritari-Makin),"= Kiribati, Gilbertese",gilb1244,0.179,173.64,Lambert1981;BenderandBeller2006b;Grovesetal1985;Spoehr1949b;HarrisonandJackson1984;Sabatier1971;BenderandBeller2007a,c19d300,B.13
marshallese,Marshallese,Mic,OC,Marshallese (Namu),,mars1254,8.72,167.73,Pollock1970;Spoehr1949a;HarrisonandJackson1984;Spoehr1949b;Aboetal1976,cffff00,B.13
mokilese,Mokilese,Mic,OC,,,moki1238,6.65651,159.77599999999998,Harrisonandalbert1977;HarrisonandJackson1984;Harrison1976,c0e7400,B.13
ponapean,Ponapean,Mic,OC,Pohnpeian; Ponape,,pona1249,7.25,158.27,BenderandBeller2006b;Rehg1981;HarrisonandJackson1984;RehgandSohl1979,c0e7400,B.13
pingelapese,Pingelapese,Mic,OC,,,ping1243,6.21,160.71,GoodandWelley1989;Schneider1980,c0e7400,B.13
puloannian,Pulo Annian,Mic,OC,Pulo-Annan; Polo Annian; Pulo Anna,dialect of Sonsorolese,pulo1240,5.52,132.05,,cff1d21,B.13
sonsorolese,Sonsorolese,Mic,OC,Sonsorol,,sons1242,5.33,132.22,Capell1969,cff1d21,B.13
ulithian,Ulithian,Mic,OC,Ulithi,,ulit1238,9.961388,139.60361099999997,BenderandBeller2006b;Lessa1966;SohnandBender1983;HarrisonandJackson1984;HageandMarck2002,cff1d21,B.13
woleaian,Woleaian,Mic,OC,Woleai; Woleiaian; Ifaluk,,wole1240,7.37957,143.916,BenderandBeller2006b;Sohn1975;HarrisonandJackson1984;SohnandTawerilmang1976;Alkire1970;BurrowsandSpiro1957;BenderandBeller2007a,cff1d21,B.13
lamotrek,Lamotrek,Mic,OC,,Dialect of Woleaian,lamo1243,7.38,143.92,,cff1d21,B.13
chuukese,Chuukese,Mic,OC,Trukese; Chuukic; Chuuukese,,chuu1238,7.346993,151.59860700000002,Benton1968;BenderandBeller2006b;Goodenough1951;GoodenoughandSugita1990;HarrisonandJackson1984,ced62ff,B.13
mortlockese,Mortlockese,Mic,OC,L. Mortlockese; Mortlock,,mort1237,5.50735,153.71077799999998,HarrisonandJackson1984,ced62ff,B.13
namoluk,Namoluk,Mic,OC,,= dialect of Mortlockese,mort1237,4.62,154.31,,ced62ff,B.13
puluwatese,Puluwatese,Mic,OC,Puluwat,,pulu1242,7.35695,149.20049999999998,Elbert1974;HarrisonandJackson1984;Elbert1972,ced62ff,B.13
carolinian,Carolinian,Mic,OC,Saipan Carolinian,,caro1242,15.205,145.765,JacksonandMarck1991;HarrisonandJackson1984;Fritz1911,cf1b5cf,B.13
taroliniantanapag,Carolinian (Tanapag),Mic,OC,Tanapag Carolinian,,tana1281,15.24,145.76,,cf1b5cf,B.13
satawalese,Satawalese,Mic,OC,Satawal,,sata1237,7.36084,147.038,Sudo1985,cf1b5cf,B.13
pi,pi,Mic,OC,,,,,,,,
rotuman,Rotuman,Fij,OC,Rotuma,,rotu1241,-12.5008,177.066,Churchward1940,cffffff,B.15
wfijian,Western Fijian dialects,Fij,OC,W. Fijian,,west2519,-17.84,177.66,,ce31a1c,B.14
ba,Bā,Fij,OC,Ba,,west2518,-17.53,177.68,,ce31a1c,B.14
lautoka,Lautoka,Fij,OC,,,west2519,-17.84,177.66,,ce31a1c,B.14
deuba,Deuba,Fij,OC,"Fijian, W (Deuba)",,west2518,-18.25,177.89,Geddes1945,ce31a1c,B.14
nadroga,Nadrogā,Fij,OC,"Nadroga; Fijian, W (Nadrogā); Nadrogaa",,nadr1235,-18.04,177.42,CapellandLester194546;Geraghty2002,ce31a1c,B.14
tavuki,Tavuki,Fij,OC,,,west2518,-19.08,178.11,,ce31a1c,B.14
tokatoka,Tokatoka,Fij,OC,,,west2518,-17.75,177.45,,ce31a1c,B.14
vuda,Vuda,Fij,OC,,,west2518,-17.62,177.46,,ce31a1c,B.14
wayan,Wayan,Fij,OC,"Wayan (Viwa); Wayan Fijian; Fijian, W (Wayan)",,waya1268,-17.29,177.12,PawleyandSayaba2022,ce31a1c,B.14
wvitilevu,West Viti Levu,Fij,OC,W Viti Levu,,west2518,,,,ce31a1c,B.14
yasawa,Yasawa,Fij,OC,,,waya1268,-16.83,177.46,,ce31a1c,B.14
nadi,Nadi,Fij,OC,,,west2518,-18.183149999999998,177.647,,ce31a1c,B.14
efijian,Eastern Fijian dialects,Fij,OC,E Fijian,,east2446,,,,c1100ff,B.14
bauanfijian,Bauan,Fij,OC,"Fijian; Standard Fijian; Bauan Fijian; Fijian, E (Bauan)",= Standard Fijian,fiji1243,-18.00, 178.33,CapellandLester194546;Capell1941;Churchward1941,c1100ff,B.14
boumaa,Boumā,Fij,OC,Boumā Fijian; Bouma; Boumaa,,east2446,-16.83,-179.88,Dixon1988,c1100ff,B.14
bua,Bua,Fij,OC,,,east2446,-16.88,178.83,,c1100ff,B.14
bucabay,Buca Bay,Fij,OC,,,east2446,-16.65,179.84,,c1100ff,B.14
kadavu,Kadavu,Fij,OC,Nabukelevu,,kada1285,-18.99,178.36,,c1100ff,B.14
laueasternfijian,Lau (Eastern Fijian),Fij,OC,,,,,,,c1100ff,B.14
lomaiviti,Lomaiviti,Fij,OC,,,loma1261,-18.00,179.31,,c1100ff,B.14
moala,Moala,Fij,OC,,,east2446,-18.59,179.88,,c1100ff,B.14
nadrau,Nadrau,Fij,OC,,,nadr1234,-17.71,177.95,,c1100ff,B.14
namosi,Namosi,Fij,OC,,,namo1250,-18.00, 178.33,,c1100ff,B.14
ovalau,Ovalau,Fij,OC,,,east2446,-17.67,178.83,,c1100ff,B.14
rakiraki,Rakiraki,Fij,OC,,,east2446,-17.36,178.16,,c1100ff,B.14
rewa,Rewa,Fij,OC,,,east2446,-18.12,178.32,,c1100ff,B.14
taveuni,Taveuni,Fij,OC,"Lau, Taveuni",,fiji1243,-16.88,-179.93,,c1100ff,B.14
verata,Verata,Fij,OC,,,east2898,-17.86,178.58,,c1100ff,B.14
vanualevu,Vanua Levu,Fij,OC,"Lau, Vanua Levu",,nucl1825,-16.78,178.74,,c1100ff,B.14
wailevu,Wailevu,Fij,OC,,,,,,,c1100ff,B.14
manydialects,(many dialects),Fij,OC,(unspecified),,west2519,-17.84,177.66,,ce31a1c,B.14
dialectunknown,(dialect unknown),Fij,OC,,,west2519,-17.84,177.66,,ce31a1c,B.14
niuean,Niuean,Pn,OC,Niue,,niue1239,-19.06,-169.86,Sperlich1997,ce31a1c,B.15
niuatoputapu,Niuatoputapu,Pn,OC,,,niua1241,-15.96,-173.78,,ce31a1c,B.15
tongan,Tongan,Pn,OC,Tonga,,tong1325,-21.17,-175.25,Churchward1953;BenderandBeller2006b;DouaireMarsaudonetal2015;Churchward1959;BenderandBeller2006a;Volkel2015;BenderandBeller2007b;BenderandBeller2007a,ce31a1c,B.15
eastuvean,East Uvean,Pn,OC,E. Uvean; E Uvean; Uvean; E Uvea,,wall1257,-13.29,-176.21,Rensch1986,c8a33fd,B.15
eastfutunan,East Futunan,Pn,OC,"E. Futunan; E Futunan; E Futuna; Futunan; Futuna, E",,east2447,-14.28,-178.14,Burrows1936,c8a33fd,B.15
nanumean,Nanumea,Pn,OC,Nanumean,dialect of Tuvalu,nort2844,-5.66,176.10,Ranby1980,c8a33fd,B.15
niuafoou,Niuafo’ou,Pn,OC,,,niua1240,-15.60,-175.64,Tsukamoto1988,c8a33fd,B.15
pukapukan,Pukapukan,Pn,OC,Pukapuka,,puka1242,-10.91,-165.83,SalisburyandMarySalisbury2018;Salisbury2002;BeagleholeandBeaglehole1991;BeagleholeandBeaglehole1938,c8a33fd,B.15
samoan,Samoan,Pn,OC,,,samo1305,-13.92,-171.83,BenderandBeller2006b;Williamson1924;BenderandBeller2006a;Holmes1957;MoselandHovdhaugen1992;Milner1966;Pratt1862,c8a33fd,B.15
tokelauan,Tokelauan,Pn,OC,Tokelau; Tokelauanan; Tokelaun,,toke1240,-9.227642,-171.780833,Simona1986;Huntsman1971;Macgregor1937,c8a33fd,B.15
tuvalu,Tuvalu,Pn,OC,Ellicean; Tuvaluan,= Ellicean,tuva1244,-8.520813,179.198088,Besnier2000,c8a33fd,B.15
aniwa,Aniwa,Pn,OC,,,aniw1237,-19.25,169.60,Capell1958,c1100ff,B.15
emae,Emae,Pn,OC,Makatea,,emae1237,-17.052,168.399,,c1100ff,B.15
ifiramele,Ifira-Mele,Pn,OC,Mele-Fila; Imere; Mele Fila,"= Mele-Fila, Imere-Ifira",mele1250,-17.6841,168.274,Clark1998,c1100ff,B.15
westfutunan,West Futunan,Pn,OC,"Futuna-Aniwa; W. Futunan; W Futunan; W.Futunan; WFutunan; W Futuna; Futuna, W",= Futuna-Aniwa,futu1245,-19.53,170.22,Dougherty1983;Capell1958,c1100ff,B.15
westuvean,West Uvea,Pn,OC,W Uvea; W. Uvean; W Uvean; WUvean; West Uvean,,west2516,-20.41,166.59,,c1100ff,B.15
anutan,Anutan,Pn,OC,Anuta,,anut1237,-11.61,169.85000000000002,Feinberg1979,c4996c6,B.15
rennellese,Rennellese,Pn,OC,Mungava; Rennell,,renn1242,-11.6237,160.265,Elbert1988;ElbertandMonberg1965;BenderandBeller2006a,c4996c6,B.15
bellona,Bellona,Pn,OC,Munggiki; Rennellese (Bellona),,mung1270,-11.6237,160.265,,c4996c6,B.15
pileni,Pileni,Pn,OC,Pileni (= Vaeakau-Taumako),,pile1238,-10.17,166.25,Feinberg2013;NssandHovdhaugen2011,c4996c6,B.15
tikopia,Tikopia,Pn,OC,Tikopian,,tiko1237,-12.2766,168.82200000000003,Firth1985;Firth1922,c4996c6,B.15
kapingamarangi,Kapingamarangi,Pn,OC,K’marangi; K'marangi; Kapinga; K‘marangi; K’maringi,,kapi1249,1.039166,154.797223,LieberandDikepa1974,c0e7400,B.15
nukuoro,Nukuoro,Pn,OC,,,nuku1260,3.84,154.975,BenderandBeller2006b;Carroll1965;CarrollandSoulik1973;BenderandBeller2006a,c0e7400,B.15
luangiua,Luangiua,Pn,OC,Ontong Java; Luangiua (= Ontong Java),,onto1237,-5.49029,159.701,Hogbin1931,c19d300,B.15
nukumanu,Nukumanu,Pn,OC,,,nuku1258,-4.58,159.49,Feinberg2009,c19d300,B.15
nukuria,Nukuria,Pn,OC,Nuguria,,nuku1259,-3.40038,154.731,,c19d300,B.15
takuu,Takuu,Pn,OC,,,taku1257,-4.773094,157.032085,Moyleetal2011,c19d300,B.15
sikaiana,Sikaiana,Pn,OC,Sikiana,,sika1261,-8.38,162.73,Donner2012;Capell193537,cb5fcb5,B.15
hawaiian,Hawaiian,Pn,OC,Hawaii,,hawa1245,19.6297,-155.43,BenderandBeller2006b;ElbertandPukui1979;HandyandPukui1951;BenderandBeller2006a;PukuiandElbert1986;PukuiElbert1971,cffff00,B.15
mangaia,Mangaia,Pn,OC,Mangaian,dialect of Rarotongan,mang1402,-21.92,-157.90,Hiroa1934,cffff00,B.15
mangareva,Mangarevan,Pn,OC,Mangareva,,mang1401,-23.1095,-134.97,BenderandBeller2006b;Lemaitre1985,cffff00,B.15
manihiki,Manihiki,Pn,OC,Manihiki-Rakahanga,,raka1237,-10.03,-161.09,Hiroa1932b,cffff00,B.15
maori,Māori,Pn,OC,Maori; Maori (Aupōuri); Maori (South Island),,maor1246,-38.2881,176.541,BenderandBeller2006b;Williams1971;Hiroa1949;BenderandBeller2006a,cffff00,B.15
moriori,Moriori,Pn,OC,,,mori1267,-44.00,-176.50,,cffff00,B.15
marquesan,Marquesan,Pn,OC,Marquesas,,marq1246,-8.954196872999944,-139.6167699859999,BenderandBeller2006b;Lemaitre1985;Handy1923;BenderandBeller2006a,cffff00,B.15
rapa,Rapa,Pn,OC,,,oldr1239,-27.63,-144.34,Hanson1970,cffff00,B.15
rapanui,Rapanui,Pn,OC,Easter Island,= Easter Island,rapa1244,-27.113,-109.342,BenderandBeller2006a,cffff00,B.15
rarotongan,Rarotongan,Pn,OC,,,raro1241,-21.23,-159.78,BuseandTaringa1996,cffff00,B.15
rurutu,Rurutu,Pn,OC,Rurutuan,,ruru1237,-22.48,-151.34,,cffff00,B.15
tahitian,Tahitian,Pn,OC,,,tahi1242,-17.6485,-149.45000000000002,BenderandBeller2006b;Handy1930;BenderandBeller2006a,cffff00,B.15
oldtahitian,Old Tahitian,Pn,OC,,,tahi1242,-17.6485,-149.45000000000002,,cffff00,B.15
tongareva,Tongarevan,Pn,OC,Penrhyn; Tongareva; Tongarevan (= Penrhyn),= Penrhyn,penr1237,-9.082238,-157.92290800000004,Hiroa1932a,cffff00,B.15
tuamotuan,Tuamotuan,Pn,OC,Tuamotu,,tuam1242,-16.17259,-146.321755,,cffff00,B.15
