Name,Glottocode,Isocode,lat,lon
’Are’are,area1240,alu,-9.21,161.16
’Auhelawa,auhe1237,kud,-10.10,151.00
Adzera,adze1240,adz,-6.38,146.35
Äiwoo,ayiw1239,nfl,-10.28,166.33
Ajië,ajie1238,aji,-21.30,165.47
Akei,akei1237,tsr,-15.64,166.77
Akolet,akol1237,akt,-6.23,150.18
Ali,alii1241,(ykm),-3.13,142.47
Amara,amar1272,aie,-5.50,148.75
Andra,andr1245,anx,-1.94,147.00
Anejom̃,anei1239,aty,-20.19,169.83
Aniwa,aniw1237,fut,-19.25,169.60
Anuki,anuk1239,aui,-9.62,149.77
Anus,anus1237,auq,-2.26,139.50
Anutan,anut1237,aud,-11.61,169.85
Apalik,apal1255,apo,-6.29,149.96
Apma,apma1240,app,-15.86,168.19
Araki,arak1252,akr,-15.63,166.95
Are,aree1239,mwc,-9.67,150.00
Arhâ,arha1237,aqr,-21.29,165.27
Aria,tour1244,(mwh),-5.63,149.26
Aribwatsa,arib1241,laz,-6.72,146.99
Arifama-Miniafia,arif1239,aai,-9.16,149.25
Arosi,aros1241,aia,-10.24,161.43
Asuboa,asum1237,aua,-11.30,166.50
Atchin,atch1238,(upv),-15.94,167.34
Atui,geli1237,(let),-6.19,150.52
Aua,auaa1241,(wuv),-1.46,143.06
Aulua,aulu1238,aul,-16.36,167.70
Avasö,avas1237,(baa),-7.38,157.34
Avau,avau1237,avb,-6.22,150.49
Avava,katb1237,tmb,-16.27,167.48
Avok,avok1244,,-16.54,167.77
Axamb,axam1237,ahb,-16.48,167.71
Bā,(west2518),(wyy),-17.53,177.68
Babatana,baba1268,baa,-7.04,156.76
Baegu,baeg1237,bvd,-8.49,160.77
Baelelea,bael1237,bvc,-8.42,160.72
Baetora,baet1237,btr,-15.26,168.16
Baki,baki1244,bki,-16.71,168.17
Balawaia,bala1307,(snc),-9.94,147.61
Bali,unea1237,bbn,-4.87,149.10
Baluan,balu1257,blq,-2.56,147.29
Bam,biem1237,bmc,-3.60,144.82
Banam Bay,burm1263,vrt,-16.34,167.76
Banoni,bann1247,bcm,-6.29,155.19
Bariai,bari1286,bch,-5.48,148.63
Barim,karn1252,bbv,-5.76,147.90
Barok,baro1253,bjk,-3.48,152.19
Bartle Bay,(weda1241),(wed),-10.10,150.10
Bauan,fiji1243,fij,-17.97,178.62
Bauro,baur1252,bxa,-10.58,161.86
Bebeli,bebe1252,bek,-5.63,150.32
Belep,nyal1254,yly,-19.72,163.66
Bierebo,bier1244,bnk,-16.67,168.15
Bieria,bier1246,brj,-16.79,168.23
Big Nambas,bign1238,nmb,-16.13,167.20
Bilibil,bilb1241,brz,-5.27,145.76
Bilur,bilu1244,bxf,-4.40,152.33
Bing,awad1244,bcu,-5.60,146.36
Bipi,bipi1237,biq,-2.11,146.40
Birao,bira1254,brr,-9.74,160.52
Blablanga,blab1237,blp,-8.15,159.42
Boanaki,ghay1237,bmk,-10.01,149.84
Bohutu,buhu1237,bxh,-10.51,150.18
Bola,bola1250,bnp,-5.33,150.01
Bongo,bong1287,bpg,-2.28,139.58
Boumā,(east2446),,-16.83,-179.88
Bua,(east2446),,-16.88,178.83
Buca Bay,(east2446),,-16.65,179.84
Budibud,budi1249,btp,-9.30,153.69
Bugotu,bugh1239,bgt,-8.48,159.80
Bukawa,buga1250,buk,-6.68,147.32
Bulu,bulu1253,bjl,-5.06,150.10
Buma,tean1237,tkw,-11.68,166.87
Bunama,buna1276,bdd,-10.08,151.07
Bwaidoga,bwai1243,bwd,-9.51,150.30
Bwatoo,bwat1240,bwa,-21.16,164.82
Caaàc,caac1237,msq,-20.41,164.58
Cakaudrove,(east2446),,-16.63,179.42
Carolinian,caro1242,cal,15.21,145.77
Cèmuhî,cemu1238,cam,-20.85,165.13
Chuukese,chuu1238,chk,7.35,151.60
Daakaka,daka1243,bpa,-16.30,167.98
Dami,mari1428,dad,-5.35,145.59
Dangal,dang1263,(mcy),-6.93,146.38
Dawawa,dawa1242,dww,-10.17,150.00
Dehu,dehu1237,dhv,-20.89,167.23
Deuba,(west2518),(bwb),-18.25,177.89
Diodio,diod1237,ddi,-9.39,150.17
Dobu,dobu1241,dob,-9.63,150.83
Doga,doga1238,dgg,-9.62,149.65
Dori’o,dori1246,dor,-9.12,160.90
Dorig,weta1242,wwo,-14.37,167.55
Doura,tour1242,don,-9.08,147.00
Drehet,kheh1237,tlx,-2.07,146.75
Drubea,dumb1241,duf,-22.09,166.53
Duau,duau1237,dva,-10.06,151.24
E Futunan,east2447,fud,-14.28,-178.14
E Kara,east2453,leu,-2.84,151.18
E Uvean,wall1257,wls,-13.29,-176.21
Emae,emae1237,mmw,-17.05,168.40
Emira,emir1237,(emi),-1.64,149.98
Engdewo,nang1262,ngr,-10.82,165.88
Ere,eree1241,twp,-2.16,147.08
Fagani,faga1239,faf,-10.45,161.66
Fataleka,fata1245,far,-8.59,160.86
Fwâi,fwai1237,fwa,-20.69,164.90
Gabadi,abad1241,kbt,-9.03,146.87
Gae,gaee1238,(gri),-9.53,159.61
Galea,gale1257,gar,-9.54,150.84
Gao,gaoo1237,gga,-8.35,159.79
Gapapaiwa,gapa1238,pwg,-9.77,149.88
Gawa,loug1237,,-8.97,151.98
Gedaged,geda1237,gdd,-5.18,145.78
Gela,gela1263,nlg,-9.05,160.19
Ghari,ghar1239,gri,-9.48,159.92
Gitua,gitu1237,ggt,-6.02,147.49
Gumawana,guma1254,gvs,-9.28,150.76
Hahon,haho1237,hah,-5.59,154.80
Haku,hali1244,hla,-5.27,154.66
Harua,haru1243,(bnp),-5.56,150.14
Hawaiian,hawa1245,haw,19.63,-155.43
Hiw,hiww1237,hiw,-13.13,166.58
Hoava,hoav1238,hoa,-8.20,157.60
Hote,hote1245,hot,-7.08,146.87
Hula,hula1239,hul,-10.10,147.73
Hus,andr1245,anx,-1.94,147.10
Iaai,iaai1238,iai,-20.63,166.59
Iamalele,iama1237,yml,-9.45,150.57
Iduna,idun1242,viv,-9.29,150.17
Ifira-Mele,mele1250,mxe,-17.68,168.28
Jawe,jawe1237,jaz,-20.66,164.68
Kadavu,kada1285,,-18.99,178.36
Kahua,kahu1241,agw,-10.70,162.19
Kaiep,kaie1237,kbw,-3.71,143.88
Kairiru,kair1263,kxa,-3.35,143.56
Kaiwa,iwal1237,kbm,-7.21,146.98
Kakabai,kaka1267,kqf,-10.30,150.03
Kakuna,mamu1254,kdf,-5.91,151.04
Kalauna,kala1387,(viv),-9.37,150.33
Kalokalo,kolu1245,klx,-9.43,150.46
Kandas,kand1301,kqw,-4.37,152.78
Kaniet,kani1282,ktk,-1.52,145.09
Kaninuwa,kani1281,wat,-9.23,150.25
Kapin,kapi1250,tbx,-7.06,146.53
K’amarangi,kapi1249,kpg,1.04,154.80
Kaulong,kaul1240,pss,-6.08,149.70
Kayupulau,kayu1243,kzu,-2.54,140.63
Kela,kela1255,kcl,-7.47,147.17
Kele,kele1258,sbc,-2.09,147.06
Kia,zaba1237,kji,-7.65,158.61
Kiai,fort1240,frt,-15.45,166.93
Kilenge,kile1242,(mgl),-5.44,148.37
Kilivila,kili1267,kij,-8.73,151.07
Kiribati,gilb1244,gil,0.18,173.64
Kis,kiss1246,kis,-3.84,143.96
Kokota,koko1269,kkk,-8.16,159.19
Konomala,kono1269,koa,-4.16,152.87
Kosraean,kosr1238,kos,5.31,162.98
Kove,kove1237,kvc,-5.59,149.63
Kubokota,kubo1244,ghn,-7.95,156.55
Kumaru,kuma1278,ksl,-7.11,146.57
Kuni,kuni1263,kse,-8.73,146.87
Kurti,kurt1250,ktm,-2.01,147.04
Kusaghe,kusa1253,ksg,-7.97,157.49
Kwai,(wala1266),(lgl),-8.69,160.94
Kwaio,kwai1243,kwd,-8.94,160.97
Kwamera,kwam1252,tnk,-19.60,169.44
Kwara’ae,kwar1239,kwf,-8.76,160.80
Kwênyii,kwen1247,kdk,-22.55,167.44
Label,labe1239,lbb,-4.47,152.68
Labo,labo1244,mwi,-16.43,167.44
Labu,labu1248,lbu,-6.75,146.90
Laghu,lagh1246,lgb,-8.01,158.96
Lakeba,(east2446),,-18.21,-178.80
Lakon,lako1245,lkn,-14.30,167.43
Lakurumau,laku1238,lxm,-2.88,151.25
Lala,lala1268,nrz,-8.93,146.75
Lamasong,lamu1255,(lbv),-3.23,151.76
Lamen,lame1260,lmu,-16.61,168.17
Lamogai,lamo1244,lmg,-5.84,149.31
Langalanga,wala1266,(lgl,-8.82,160.74
Larëvat,lare1249,lrv,-16.20,167.39
Lau,lauu1247,llu,-8.51,160.87
Lavongai,tung1290,lcm,-2.52,150.20
Lehali,leha1243,tql,-13.52,167.33
Leipon,leip1237,lek,-1.97,147.23
Lele,lele1270,lle,-2.05,147.21
Lelepa,lele1267,lpa,-17.60,168.20
Lelet,lele1268,(mmx),-3.32,151.92
Lemerig,leme1238,lrz,-13.74,167.42
Lenakel,lena1238,tnl,-19.48,169.26
Lendamboi,lete1242,nms,-16.45,167.52
Lengo,leng1259,lgr,-9.56,160.42
Lenkau,lenk1247,ler,-2.33,147.74
Lewo,lewo1242,lww,-16.76,168.33
Lihir,lihi1237,lih,-3.19,152.61
Likum,liku1243,lib,-2.16,146.70
Lo-Toga,loto1240,lht,-13.33,166.63
Logea,loge1237,(sbe),-10.63,150.64
Loh,(loto1240),(lht),-13.34,166.63
Lolovoli,(east2443),(omb),-15.39,167.92
Lomaiviti,loma1261,lmv,-18.00,179.31
Lombaha,lomb1262,(omb),-15.31,167.85
Longana,long1396,(omb),-15.33,167.96
Longeinga,bush1249,(mee),-5.25,151.40
Longgu,long1395,lgu,-9.75,160.66
Loniu,loni1238,los,-2.06,147.35
Lonwolwol,lonw1238,crc,-16.22,167.93
Lou,louu1245,loj,-2.39,147.35
Löyöp,leha1244,urr,-13.52,167.34
Luangiua,onto1237,ojv,-5.49,159.70
Lukep,arop1243,apr,-5.32,147.10
Lungga,lung1249,lga,-8.17,156.57
Lusi,lusi1240,khl,-5.53,149.16
Macuata,(west2518),(wyy),-17.36,178.03
Madak,mada1285,mmx,-3.34,151.97
Mafea,mafe1237,mkv,-15.43,167.24
Magori,mago1248,zgr,-10.24,149.27
Maisin,mais1250,mbq,-9.50,149.24
Malai,mala1488,(tuc),-5.89,147.95
Malalamai,mala1489,mmt,-5.77,146.64
Malango,mala1484,mln,-9.61,160.12
Malasanga,mala1487,mqz,-5.92,147.07
Maleu,male1290,(mgl),-5.69,148.34
Malua Bay,malu1254,mll,-15.98,167.19
Mamusi,mamu1254,kdf,-5.85,151.03
Manam,mana1295,mva,-4.08,145.04
Mangaia,mang1402,(rar),-21.92,-157.90
Mangap,mbul1263,mna,-5.67,148.05
Mangarevan,mang1401,mrv,-23.11,-134.97
Mangga,mang1404,mmo,-7.00,146.69
Mangseng,mang1403,mbh,-5.90,150.68
Manihiki,raka1237,rkh,-10.03,-161.09
Maopa,maop1237,(khz),-10.13,148.02
Māori,maor1246,mri,-38.29,176.54
Mapos Buang,mapo1242,bzh,-6.87,146.77
Marau Sound,mara1398,(alu),-9.78,160.79
Mari,mari1429,hob,-5.98,145.84
Maringe,chek1238,mrn,-8.23,159.65
Marovo,maro1244,mvo,-8.38,157.75
Marshallese,mars1254,mah,8.72,167.73
Maskelynes,mask1242,klv,-16.51,167.82
Matailobau,(east2898),,-17.84,178.33
Mato,mato1252,met,-5.92,146.86
Matukar,matu1261,mjk,-4.89,145.79
Mbareke,bare1273,(mpr),-8.54,158.10
Medebur,mede1237,mjm,-4.50,145.43
Megiar,megi1245,(tbc),-4.81,145.76
Mekeo,meke1243,mek,-8.49,146.67
Mengen,meng1267,mee,-5.52,151.52
Meramera,mera1242,mxm,-4.94,151.36
Merei,mere1242,lmb,-15.28,166.91
Merlav,merl1237,mrm,-14.45,168.05
Middle Watut,midd1327,mpl,-6.85,146.35
Minaveha,mina1269,mvn,-9.60,150.50
Mindiri,mind1255,mpn,-5.50,146.15
Miniafia,mini1252,aai,-9.03,149.12
Minigir,mini1251,vmg,-4.32,152.01
Misima,misi1243,mpx,-10.68,152.70
Moala,(east2446),,-18.59,179.88
Mokilese,moki1238,mkj,6.66,159.78
Molima,moli1248,mox,-9.65,150.64
Mondropolon,mond1265,npn,-2.01,146.93
Mono-Alu,mono1273,mte,-7.05,155.76
Morouas,moro1286,mrp,-15.35,166.89
Mortlockese,mort1237,mrl,5.51,153.71
Mota,mota1237,mtt,-13.84,167.69
Motu,motu1246,meu,-9.46,147.15
Mouk,mouk1240,(mwh),-5.67,149.08
Musom,muso1238,msu,-6.54,146.93
Mussau,muss1248,(emi),-1.44,149.62
Mutu,mutu1242,tuc,-5.79,148.01
Muyuw,muyu1244,myw,-9.20,152.73
Mwesen,,,-13.90,167.53
Mwotlap,motl1237,mlv,-13.65,167.65
Nadrau,nadr1234,,-17.71,177.95
Nadrogā,nadr1235,,-18.04,177.42
Naha’ai,malf1237,mlx,-16.55,167.51
Nakanai,naka1262,nak,-5.50,150.78
Nakanamanga,nort2836,llp,-17.58,168.38
Nali,nali1245,nss,-2.14,147.20
Nalik,nali1244,nal,-2.94,151.33
Nalögo,nalo1235,nlz,-10.83,165.80
Namakir,nama1268,nmk,-16.90,168.57
Naman,litz1237,lzl,-16.13,167.42
Namoluk,(mort1237),(mrl),4.62,154.31
Namosi,namo1250,,-18.04,178.13
Nanumea,nort2844,(tvl),-5.66,176.10
Narango,nara1263,nrg,-15.53,167.05
Nasarian,nasa1240,nvh,-16.35,167.41
Nasvang,nasv1234,,-16.46,167.64
Nāti,nati1244,,-16.47,167.50
Natügu,natu1246,ntu,-10.69,165.87
Nauna,naun1237,ncn,-2.21,148.20
Nauruan,naur1243,nau,-0.53,166.94
Navwien,navw1234,,-16.50,167.55
Nduindui,west2513,nnd,-15.46,167.69
Nduke,duke1237,nke,-7.98,157.06
Nebao,amba1266,utp,-11.30,166.50
Nehan,neha1247,nsn,-4.57,154.20
Nêlêmwa,nene1250,(nee),-20.24,164.03
Nemi,nemi1240,nem,-20.68,164.80
Nengone,neng1238,nen,-21.53,167.96
Nese,nese1235,,-15.95,167.22
Neve’ei,vinm1237,vnm,-16.23,167.43
Neverver,ling1265,lgk,-16.20,167.50
Nguna,ngun1274,(llp),-17.47,168.37
Nimoa,nimo1246,nmw,-11.23,153.16
Nisvai,nisv1234,,-16.41,167.79
Niuafo’ou,niua1240,num,-15.60,-175.64
Niuatopu-tapu,niua1241,nkp,-15.96,-173.78
Niuean,niue1239,niu,-19.06,-169.86
Nixumwak,nucl1483,(nee),-20.41,164.18
Nokuku,noku1237,nkk,-14.90,166.60
N Ambrym,nort2839,mmg,-16.10,168.16
N Marquesan,nort2845,mrq,-8.89,-140.11
N Tanna,nort2847,tnn,-19.37,169.30
N Watut,nort2857,una,-6.62,146.25
Notsi,nots1237,ncf,-3.06,151.66
Nukumanu,nuku1258,nuq,-4.58,159.49
Nukuoro,nuku1260,nkr,3.84,154.98
Nukuria,nuku1259,nur,-3.40,154.73
Numbami,numb1247,sij,-7.53,147.30
Nume,nume1241,tgs,-14.23,167.59
Numèè,nume1242,kdk,-22.25,166.87
Nyelâyu,bala1316,yly,-20.25,164.20
Nyindrou,nyin1250,lid,-2.11,146.63
Olrat,olra1234,olr,-14.31,167.43
Orkon,orko1234,fnb,-16.17,168.20
Ormu,ormu1248,orz,-2.51,140.60
Ôrôe,orow1242,bpk,-21.46,165.47
Oroha,oroh1237,ora,-9.74,161.51
Ouma,ouma1237,oum,-10.23,149.09
Ovalau,(east2446),,-17.67,178.83
Owa,owaa1237,stn,-10.83,162.30
Oya’oya,oyao1237,oyy,-10.54,150.66
Paamese,paam1238,pma,-16.48,168.24
Paicî,paic1239,pri,-21.10,165.15
Pak,pakk1242,(pkg),-2.08,147.63
Papapana,papa1265,ppn,-5.92,155.29
Papitalai,papi1254,pat,-2.06,147.42
Patep,pate1247,ptp,-6.92,146.64
Patpatar,patp1243,gfk,-3.75,152.49
Penchal,penc1239,pek,-2.30,147.81
Petats,peta1245,pex,-5.19,154.51
Piamatsina,piam1242,ptr,-15.00,166.74
Pije,pije1237,piz,-20.78,164.94
Pileni,pile1238,piv,-10.17,166.25
Pingelapese,ping1243,pif,6.21,160.71
Piu,piuu1237,pix,-6.93,146.46
Piva,lawu1237,tgi,-6.22,155.02
Ponam,pona1250,ncc,-1.92,146.89
Ponapean,pona1249,pon,7.25,158.27
Pt Sandwich,port1285,psw,-16.50,167.78
Port Vato,port1286,ptv,-16.33,168.04
Psohoh,apso1237,aix,-6.20,150.25
Pukapukan,puka1242,pkp,-10.91,-165.83
Pulo Annian,pulo1240,(sov),5.52,132.05
Puluwatese,pulu1242,puw,7.36,149.20
Pwaamei,pwaa1237,pme,-20.84,164.77
Pwapwâ,pwap1237,pop,-20.81,164.56
Raga,hano1246,lml,-15.49,168.15
Rakiraki,(east2446),,-17.36,178.16
Ramoaaina,ramo1244,rai,-4.17,152.45
Rano,(wala1267),(upv),-15.99,167.39
Rapa,oldr1239,ray,-27.63,-144.34
Rapanui,rapa1244,rap,-27.11,-109.34
Rarotongan,raro1242,rar,-21.24,-159.78
Rauto,puli1237,(lmg),-6.06,149.34
Rennellese,renn1242,mnv,-11.62,160.27
Rerep,rere1240,pgk,-16.29,167.65
Rewa,(east2446),,-18.12,178.32
Ririo,riri1237,rri,-6.85,156.90
Riwo,(geda1237),(gdd),-5.15,145.81
Roinji,(geda1237),roe,-5.81,146.73
Roro,roro1238,rro,-8.82,146.54
Rotuman,rotu1241,rtm,-12.50,177.07
Roviana,rovi1238,rug,-8.20,157.41
Rurutu,ruru1237,(aut),-22.48,-151.34
Sa,saaa1241,sax,-15.95,168.23
Sa’a,saaa1240,apb,-9.60,161.47
Sakao,port1296,sku,-14.96,167.14
Saliba,sali1295,sbe,-10.61,150.71
Samoan,samo1305,smo,-13.92,-171.83
Santa Ana,sant1414,(stn),-10.84,162.46
Satawalese,sata1237,stw,7.36,147.04
Seimat,seim1238,ssg,-1.27,144.25
Selau,sela1258,(hla),-5.45,154.72
Sengseng,seng1281,ssz,-6.16,149.78
Sepa,sepa1243,spe,-4.28,144.95
Sera,sera1260,sry,-2.97,141.92
Sesake,sesa1243,(llp),-17.04,168.38
Sewa Bay,sewa1251,sew,-9.99,150.92
Shark Bay,lore1244,lnn,-15.33,167.17
Siar,siar1238,sjr,-4.62,152.89
Sikaiana,sika1261,sky,-8.38,162.73
Simbo,simb1256,sbb,-8.27,156.54
Singorakai,sing1268,(mqz),-5.96,147.08
Sio,sioo1240,xsi,-5.96,147.35
Sirak,nafi1237,srf,-6.43,146.82
Sirasira,sara1323,zsa,-6.32,146.48
Sisiqa,sisi1250,(baa),-7.23,157.05
Sissano,siss1243,sso,-3.00,142.05
Ske,seke1241,ske,-15.88,168.20
Sobei,sobe1238,sob,-1.87,138.75
Solos,solo1257,sol,-5.30,154.59
Sonsorolese,sons1242,sov,5.33,132.22
Sori-Harengan,sori1242,sbh,-1.98,146.64
S Efate,sout2856,erk,-17.76,168.30
S Gaua,koro1318,krf,-14.36,167.48
S Marquesan,sout2866,mqm,-9.76,-138.98
S Watut,sout2877,mcy,-7.04,146.41
SE Ambrym,sout2859,tvk,-16.32,168.31
SW Bay,sout2857,sns,-16.51,167.48
SW Tanna,sout2869,nwi,-19.58,169.36
Sowa,sowa1244,sww,-15.83,168.19
Suau,suau1242,swp,-10.66,150.21
Sudest,sude1239,tgo,-11.52,153.49
Sukurum,suku1264,zsu,-6.28,146.34
Suñwadaga,mari1426,mrb,-14.97,168.06
Sursurunga,surs1246,sgz,-3.99,152.77
Sye,siee1239,erg,-18.90,169.22
Tabar,mand1440,tbf,-2.78,151.96
Taboro,tabo1240,(snc),-9.72,147.76
Tahitian,tahi1242,tah,-17.65,-149.45
Taiof,taio1240,(sps),-5.52,154.65
Takia,taki1248,tbc,-4.69,145.98
Takuu,taku1257,nho,-4.77,157.03
Talise,tali1259,tlr,-9.77,160.23
Tamambo,malo1243,mla,-15.68,167.16
Tambotalo,tamb1253,tls,-15.50,167.14
Tami,tami1290,tmy,-6.77,147.92
Tanema,tane1237,tnx,-11.68,166.97
Tangga,tang1348,tgg,-4.09,153.61
Tangoa,tang1347,tgp,-15.56,166.96
Tanibili,tani1255,tbe,-11.30,166.51
Tape,mara1399,mrs,-16.11,167.26
Tarpia,tarp1240,tpf,-2.32,140.12
Tasmate,tasm1246,tmt,-15.08,166.66
Taupota,taup1242,tpa,-10.23,150.37
Taveuni,(fiji1243),fij,-16.88,-179.93
Tavua,(nucl1487),,-17.44,177.86
Tavuki,(west2518),(wyy),-19.08,178.11
Tawala,tawa1275,tbo,-10.31,150.64
Tenis,teni1244,tns,-1.65,150.67
Teop,teop1238,tio,-5.67,154.97
Tiang,tian1237,tbj,-2.96,150.94
Tigak,tiga1245,tgc,-2.71,150.89
Tikopia,tiko1237,tkp,-12.28,168.82
Tinputz,tinp1237,tpz,-5.58,154.97
Tirax,maee1241,mme,-15.99,167.29
Tîrî,tiri1261,cir,-21.72,165.81
Titan,tita1241,ttv,-2.18,146.89
To’aba’ita,toab1237,mlu,-8.39,160.62
Tobati,toba1266,tti,-2.56,140.71
Tokatoka,(west2518),(wyy),-17.75,177.45
Tokelauan,toke1240,tkl,-9.23,-171.78
Tolai,kuan1248,ksd,-4.31,152.11
Tolo,tolo1254,(tlr),-9.88,160.42
Tolomako,tolo1255,tlm,-15.16,166.77
Tomoip,tomo1244,tqp,-5.31,151.83
Tongan,tong1325,ton,-21.17,-175.25
Tongarevan,penr1237,pnh,-9.08,-157.92
Torau,tora1259,ttu,-6.20,155.50
Tuam,tuam1243,tuc,-5.96,148.03
Tuamotuan,tuam1242,pmt,-16.17,-146.32
Tubetube,bwan1241,tte,-10.66,151.03
Tulu-Bohuai,tulu1259,rak,-2.14,146.93
Tumleo,tuml1238,tmq,-3.12,142.40
Tutuba,tutu1241,tmi,-15.58,167.27
Tuvalu,tuva1244,tvl,-8.52,179.20
Ubir,ubir1237,ubr,-9.59,149.40
Ughele,ughe1237,uge,-8.46,157.34
Uki ni Masi,ukin1237,(apb),-10.25,161.73
Ulau-Suain,ulau1237,svb,-3.34,142.91
Ulawa,ulaw1237,(apb),-9.79,161.97
Ulithian,ulit1238,uli,9.96,139.60
Unua,unua1237,onu,-16.26,167.60
Ura,urav1235,uur,-18.65,169.10
Uripiv,urip1240,(upv),-16.09,167.45
Uruava,urua1242,urv,-6.23,155.57
Utaha,ifoo1237,iff,-18.72,169.01
Uvol,lote1237,uvl,-6.00,150.90
Vaghua,vagh1249,tva,-6.69,156.54
Valpei,valp1237,vlp,-14.71,166.61
Vangunu,vang1243,mpr,-8.67,158.00
Vano,vano1237,vnk,-11.61,166.80
Vanua Levu,nucl1825,,-16.78,178.74
Vao,vaoo1237,vao,-15.90,167.31
Varisi,vari1239,vrs,-6.83,156.66
Vehes,vehe1237,val,-6.92,146.90
Vera’a,vera1241,vra,-13.89,167.43
Verata,(east2898),,-17.86,178.58
Vitu,mudu1242,wiv,-4.67,149.45
Volow,volo1238,(mlv),-13.65,167.71
Vuda,(west2518),(wyy),-17.62,177.46
Vunapu,vuna1239,vnp,-14.85,166.69
Vurës,vure1239,msn,-13.91,167.45
Wab,wabb1237,wab,-5.61,146.46
Wagawaga,waga1268,wgb,-10.42,150.41
Wahmwaang,waam1236,wmn,-20.50,164.41
Wala,wala1267,(upv),15.98,167.38
Wampar,wamp1247,lbq,-6.58,146.60
Wampur,wamp1248,waz,-6.40,146.11
Wayan,waya1268,(wyy),-17.30,177.13
Wedau,weda1241,wed,-10.09,150.08
W Futunan,futu1245,fut,-19.53,170.22
W Kara,west2524,(leu),2.91,151.16
W Mekeo,west2528,(mek),-8.43,146.54
W Uvea,west2516,uve,-20.41,166.59
W Viti Levu,(west2518),(wyy),-18.13,177.54
Whitesands,whit1269,tnp,-19.50,169.38
Wogeo,woge1237,woc,-3.20,144.09
Woleaian,wole1240,woe,7.38,143.92
Wusi,wusi1237,wsi,-15.34,166.67
Wuvulu,wuvu1240,wuv,-1.74,142.85
Xârâcùù,xara1244,ane,-21.70,166.00
Xârâgurè,xara1243,axx,-21.82,166.38
Yabem,yabe1254,jae,-6.67,147.81
Yalu,arib1240,ylu,-6.65,146.92
Yamna,yamn1237,ymn,-2.09,139.21
Yanta,yant1237,(goc),-6.81,146.57
Yapese,yape1248,yap,9.56,138.13
Yasawa,(waya1268),(wyy),-16.83,177.46
Yoba,yoba1237,yob,-10.17,149.26
Yuanga,yuag1237,nua,-20.57,164.51
Zenag,zena1237,zeg,-6.94,146.55
